# 01-overview.sch:
# --------------------------------------------

# 02-pulprog.sch:
# --------------------------------------------

# 03-mcu-core.sch:
# --------------------------------------------
"R26","SMD_SIMPLE 60 30","P330HCT-ND"
"R27","SMD_SIMPLE 60 30","P330HCT-ND"
"R28","SMD_SIMPLE 60 30","P10.0KHCT-ND"
"R29","SMD_SIMPLE 60 30","P10.0KHCT-ND"
"R30","SMD_SIMPLE 60 30","P10.0KHCT-ND"
"U11","SO16","516-2221-1-ND"

# 11-asc-tune-1of2.sch:
# --------------------------------------------
"CB26","SMD_SIMPLE 60 30","490-1532-1-ND"
"CB27","SMD_POLAR 80 50","511-1683-1-ND"
"CB28","SMD_SIMPLE 60 30","490-1532-1-ND"
"CB29","SMD_POLAR 80 50","511-1683-1-ND"
"CT01","SMD_SIMPLE 60 30","PCF1461CT-ND"
"CT02","SMD_SIMPLE 60 30","PCF1465CT-ND"
"CT03","SMD_SIMPLE 60 30","PCF1451CT-ND"
"CT04","SMD_SIMPLE 60 30","PCF1455CT-ND"
"CT05","SMD_SIMPLE 80 50","PCF1171CT-ND"
"CT06","SMD_SIMPLE 80 50","PCF1175CT-ND"
"CT07","SMD_SIMPLE 120 60","PCF1179CT-ND"
"CT08","SMD_SIMPLE 120 60","PCF1183CT-ND"
"R31","SMD_SIMPLE 60 30","P10.0KHCT-ND"
"U12","TSSOP24","ADG714BRUZ-REEL7CT-ND"

# 12-asc-tune-2of2.sch:
# --------------------------------------------
"CT09","SMD_SIMPLE 120 100","PCF1187CT-ND"
"CT10","SMD_SIMPLE 120 100","PCF1189CT-ND"
"CT11","SMD_SIMPLE 120 60","PCF1128CT-ND"
"CT12","SMD_SIMPLE 120 60","PCF1129CT-ND"
"CT13","SMD_SIMPLE 120 60","PCF1131CT-ND"
"CT14","SMD_SIMPLE 60 30","490-1536-1-ND"
"CT15","SMD_SIMPLE 60 30","490-3296-1-ND"
"CT16","SMD_SIMPLE 60 30","490-7205-1-ND"
"U13","TSSOP24","ADG714BRUZ-REEL7CT-ND"

# 13-asc-ina.sch:
# --------------------------------------------
"C14","SMD_SIMPLE 80 50","PCF1177CT-ND"
"C15","SMD_SIMPLE 80 50","PCF1126CT-ND"
"C16","SMD_SIMPLE 80 50","PCF1177CT-ND"
"C17","SMD_SIMPLE 60 30","PCF1445CT-ND"
"CB30","SMD_SIMPLE 60 30","490-1532-1-ND"
"CB31","SMD_POLAR 80 50","511-1683-1-ND"
"CB32","SMD_SIMPLE 60 30","490-1532-1-ND"
"CB33","SMD_POLAR 80 50","511-1683-1-ND"
"D05","SOT23","568-1619-1-ND"
"L03","SMD_SIMPLE 60 30","490-1037-1-ND"
"L04","SMD_SIMPLE 60 30","490-1037-1-ND"
"R32","SMD_SIMPLE 60 30","P49.9DBCT-ND"
"R33","SMD_SIMPLE 60 30","P49.9DBCT-ND"
"R34","SMD_SIMPLE 60 30","A102234CT-ND"
"R35","SMD_SIMPLE 60 30","A102234CT-ND"
"U14","SO8","AD8428ARZ-ND"

# 14-asc-gain.sch:
# --------------------------------------------
"C18","SMD_SIMPLE 80 50","PCF1126CT-ND"
"CB34","SMD_SIMPLE 60 30","490-1532-1-ND"
"CB35","SMD_POLAR 80 50","511-1683-1-ND"
"CB36","SMD_SIMPLE 60 30","490-1532-1-ND"
"CB37","SMD_POLAR 80 50","511-1683-1-ND"
"R36","SMD_SIMPLE 60 30","P100KDBCT-ND"
"R37","SMD_SIMPLE 60 30","P1.0KDBCT-ND"
"R38","SMD_SIMPLE 60 30","CRT0603-BY-10R0ELFCT-ND"
"U15","SO8","AD8597ARZ-ND"

# 15-asc-fil-1of2.sch:
# --------------------------------------------
"C19","SMD_SIMPLE 80 50","PCF1177CT-ND"
"C20","SMD_SIMPLE 80 50","PCF1177CT-ND"
"C21","SMD_SIMPLE 80 50","PCF1177CT-ND"
"C22","SMD_SIMPLE 80 50","PCF1177CT-ND"
"CB38","SMD_SIMPLE 60 30","490-1532-1-ND"
"CB39","SMD_POLAR 80 50","511-1683-1-ND"
"CB40","SMD_SIMPLE 60 30","490-1532-1-ND"
"CB41","SMD_POLAR 80 50","511-1683-1-ND"
